feature,importance
numeric__Hyper/Impulsive,0.19369440564119553
numeric__ADHD Index,0.191000012561227
numeric__Inattentive,0.1861707815140976
numeric__Age,0.13845746961822955
numeric__Full4 IQ,0.08533190899123551
numeric__Performance IQ,0.04915406519708974
numeric__Gender,0.04720219902153722
numeric__Verbal IQ,0.0436962980739299
numeric__ADHD Measure,0.02179546085412295
categorical__Handedness_1,0.011420939485251169
categorical__Handedness_0,0.004371517844112339
categorical__Handedness_0.33,0.0032391897637962536
categorical__Handedness_0.45,0.0021655922172502643
categorical__Handedness_0.91,0.001955962873900499
categorical__Handedness_0.82,0.0015119428131345736
categorical__Handedness_0.74,0.0011441852459060356
categorical__Handedness_0.67,0.0009899313441383017
categorical__Handedness_0.65,0.000928475242506581
categorical__Handedness_0.81,0.0008318928151589331
categorical__Handedness_0.57,0.0008198378347829483
categorical__Handedness_0.5,0.0007888135987570025
categorical__Handedness_0.68,0.0007103524125526605
categorical__Handedness_-999,0.0006349212384102392
categorical__Handedness_0.31,0.0006056664961341794
categorical__Handedness_0.56,0.00048375032956829954
categorical__Handedness_0.73,0.0004782134011653893
categorical__Handedness_0.47,0.0004625567526800239
categorical__Handedness_0.69,0.0004539745034540983
categorical__Handedness_0.44,0.0004379418464734172
categorical__Handedness_0.6,0.00042314394260795573
categorical__Handedness_-0.04,0.0003981877052617959
categorical__Handedness_0.16,0.0003933670768887735
categorical__Handedness_0.43,0.0003927789082782984
categorical__Handedness_0.29,0.0003856587321085041
categorical__Handedness_0.22,0.00033913087850371827
categorical__Handedness_0.75,0.00033872162041643415
categorical__Handedness_0.11,0.00029812308059416716
categorical__Handedness_0.05,0.00029756595533585243
categorical__Handedness_0.55,0.0002883947264579254
categorical__Handedness_0.83,0.00027013874475949947
categorical__Handedness_2,0.0002640576509639002
categorical__Handedness_0.61,0.0002589113030442104
categorical__Handedness_0.9,0.00025285920016898797
categorical__Handedness_0.48,0.00024348223462346936
categorical__Handedness_-0.31,0.00022932238991566045
categorical__Handedness_0.15,0.000215118404088712
categorical__Handedness_0.46,0.00021342141243597905
categorical__Handedness_0.77,0.00020832609628092106
categorical__Handedness_0.95,0.0002066846040550013
categorical__Handedness_0.21,0.000205656790302403
categorical__Handedness_0.52,0.00019729938199962622
categorical__Handedness_0.58,0.00019457153014686474
categorical__Handedness_0.19,0.0001883442367575089
categorical__Handedness_0.72,0.00016751718843572
categorical__Handedness_0.64,0.00015940809241949316
categorical__Handedness_0.39,0.0001560381144361614
categorical__Handedness_0.24,0.00014548719750888807
categorical__Handedness_0.76,0.0001439772673824941
categorical__Handedness_0.13,0.00013316433985591632
categorical__Handedness_0.8,0.00013270617145533126
categorical__Handedness_0.2,0.0001130849339492825
categorical__Handedness_0.63,0.00011121073037809358
categorical__Handedness_0.17,0.00010230792130402593
categorical__Handedness_0.42,0.00010027184797871454
categorical__Handedness_-0.11,8.778897187864655e-05
categorical__Handedness_-0.2,8.450162826240358e-05
categorical__Handedness_0.62,8.33305528778253e-05
categorical__Handedness_0.04,7.838212634086631e-05
categorical__Handedness_0.28,7.413664339196851e-05
categorical__Handedness_L,7.394783155901658e-05
categorical__Handedness_0.36,6.668375393793759e-05
categorical__Handedness_0.86,6.623020153584982e-05
categorical__Handedness_0.53,6.592276573270173e-05
categorical__Handedness_0.54,6.278725807389325e-05
categorical__Handedness_0.96,5.91961405256234e-05
categorical__Handedness_0.71,5.91629062729946e-05
categorical__Handedness_0.4,1.6278026976275626e-05
categorical__Handedness_0.38,1.4951249735481416e-05
