feature,mean_abs_shap
numeric__ADHD Index,1.6816357
numeric__Inattentive,0.9542495
numeric__Full4 IQ,0.75399125
numeric__Hyper/Impulsive,0.64307207
numeric__Age,0.4999444
numeric__Gender,0.4249382
numeric__Verbal IQ,0.3524502
numeric__Performance IQ,0.285368
numeric__ADHD Measure,0.27146107
categorical__Handedness_0,0.19092776
categorical__Handedness_1,0.017644348
categorical__Handedness_-0.2,0.0
categorical__Handedness_-0.11,0.0
categorical__Handedness_-0.04,0.0
categorical__Handedness_-999,0.0
categorical__Handedness_-0.31,0.0
categorical__Handedness_0.05,0.0
categorical__Handedness_0.04,0.0
categorical__Handedness_0.13,0.0
categorical__Handedness_0.15,0.0
categorical__Handedness_0.16,0.0
categorical__Handedness_0.11,0.0
categorical__Handedness_0.19,0.0
categorical__Handedness_0.2,0.0
categorical__Handedness_0.21,0.0
categorical__Handedness_0.22,0.0
categorical__Handedness_0.24,0.0
categorical__Handedness_0.28,0.0
categorical__Handedness_0.29,0.0
categorical__Handedness_0.17,0.0
categorical__Handedness_0.33,0.0
categorical__Handedness_0.36,0.0
categorical__Handedness_0.38,0.0
categorical__Handedness_0.39,0.0
categorical__Handedness_0.4,0.0
categorical__Handedness_0.42,0.0
categorical__Handedness_0.43,0.0
categorical__Handedness_0.44,0.0
categorical__Handedness_0.45,0.0
categorical__Handedness_0.46,0.0
categorical__Handedness_0.47,0.0
categorical__Handedness_0.48,0.0
categorical__Handedness_0.5,0.0
categorical__Handedness_0.52,0.0
categorical__Handedness_0.53,0.0
categorical__Handedness_0.31,0.0
categorical__Handedness_0.54,0.0
categorical__Handedness_0.55,0.0
categorical__Handedness_0.57,0.0
categorical__Handedness_0.56,0.0
categorical__Handedness_0.6,0.0
categorical__Handedness_0.61,0.0
categorical__Handedness_0.62,0.0
categorical__Handedness_0.58,0.0
categorical__Handedness_0.64,0.0
categorical__Handedness_0.65,0.0
categorical__Handedness_0.67,0.0
categorical__Handedness_0.68,0.0
categorical__Handedness_0.69,0.0
categorical__Handedness_0.71,0.0
categorical__Handedness_0.72,0.0
categorical__Handedness_0.63,0.0
categorical__Handedness_0.73,0.0
categorical__Handedness_0.74,0.0
categorical__Handedness_0.76,0.0
categorical__Handedness_0.75,0.0
categorical__Handedness_0.8,0.0
categorical__Handedness_0.81,0.0
categorical__Handedness_0.82,0.0
categorical__Handedness_0.77,0.0
categorical__Handedness_0.83,0.0
categorical__Handedness_0.86,0.0
categorical__Handedness_0.91,0.0
categorical__Handedness_0.9,0.0
categorical__Handedness_0.95,0.0
categorical__Handedness_0.96,0.0
categorical__Handedness_2,0.0
categorical__Handedness_L,0.0
